,ID.LUS,ID.PLOT,X80.LandUse,BIO4,X82.Designation,X83.LandTenure,X85.FireOccurrence,X86c.FireAreaM2,X87.FireType,X88.ExpectedFutureTrees,X92.TreeCanopyCoverage,N0,H,Simp,N1,N2,E1,E2,tprec,a.tmin,a.tmax,a.tmean,alt,Pop.pa,HHpop,Province,GEZ,pop.d,S.DistToRoad,Expo,Slope,RELIEF,TEXTURE,DRAINAGE,SOM,X90.N.StandOrigin,X90.C.StandOrigin,X90.nk.StandOrigin,X91.StandStructure,X92a.ShrubCoverage,X92b.ShrubHeight,X93.ManagementPlan,X93a.ManagementAgreement,X94.Disturbances,X95.TimberExploitation
1,201001101,2010011,110030,0.434448384,99,6,2,5000,2,3,1,1,0,0,1,1,1,1,1072,17.73333333,29.45833333,23.575,971,0,0,Luapula,Tropical moist deciduous forest,24054.88672,3292.840853,222,1,3,2,0,1,1,0,0,0,0,0,90,1,4,NA
2,201001201,2010012,110030,0.837547006,99,6,2,5000,2,2,1,1,0,0,1,1,1,1,1072,17.73333333,29.45833333,23.575,971,0,0,Luapula,Tropical moist deciduous forest,24054.88672,3292.840853,226,1,3,2,0,1,1,0,0,0,0,0,90,1,4,2
3,201002101,2010021,110030,46.04739716,2,4,2,5000,2,3,3,8,1.624987174,0.708333333,5.078353903,3.428571429,0.634794238,0.428571429,1125,16.78333333,28.29166667,22.50833333,1261,1,500,Luapula,Tropical moist deciduous forest,17911.69336,13446.24953,269,10,3,4,2,3,1,0,0,1,0,NA,90,NA,2,1
4,201002201,2010022,110030,51.68289963,2,4,2,5000,2,3,3,11,2.208249713,0.875171468,9.099775231,8.010989011,0.827252294,0.728271728,1125,16.78333333,28.29166667,22.50833333,1261,1,500,Luapula,Tropical moist deciduous forest,17911.69336,13446.24953,227,1,2,4,1,3,1,0,0,1,0,NA,90,NA,2,1
5,201002301,2010023,110030,31.30339608,2,4,2,5000,2,3,3,10,1.76307711,0.751714678,5.830350451,4.027624309,0.583035045,0.402762431,1125,16.78333333,28.29166667,22.50833333,1261,1,500,Luapula,Tropical moist deciduous forest,17911.69336,13446.24953,280,6,2,5,2,2,1,0,0,1,0,NA,90,NA,2,1
6,201002401,2010024,110030,33.73912711,2,4,2,5000,2,3,3,16,2.631337528,0.917159763,13.89233887,12.07142857,0.86827118,0.754464286,1125,16.78333333,28.29166667,22.50833333,1261,1,500,Luapula,Tropical moist deciduous forest,17911.69336,13446.24953,225,5,2,3,0,3,1,0,0,1,0,NA,90,NA,2,1
7,201007101,2010071,110030,28.26545318,7,6,2,5000,2,1,4,11,2.107279667,0.851969217,8.225833817,6.755351682,0.747803074,0.61412288,1174,16.975,28.84166667,22.875,1118,1,NA,Northern,Tropical moist deciduous forest,11768.62988,1353.203478,18,2,1,3,0,2,1,0,0,2,2,1,2,90,2,1
8,201007201,2010072,110030,23.19339742,7,6,2,5000,2,1,4,11,1.993143232,0.823251418,7.338564356,5.657754011,0.667142214,0.514341274,1174,16.975,28.84166667,22.875,1118,1,NA,Northern,Tropical moist deciduous forest,11768.62988,1353.203478,360,2,1,3,1,2,1,0,0,2,2,1,2,90,2,1
9,201007301,2010073,110030,25.19350772,7,6,2,5000,2,1,4,12,2.065345433,0.834294502,7.888022208,6.034802784,0.657335184,0.502900232,1174,16.975,28.84166667,22.875,1118,1,NA,Northern,Tropical moist deciduous forest,11768.62988,1353.203478,150,3,1,3,1,2,1,0,0,2,2,1,2,90,2,1
10,201007401,2010074,110030,46.41272377,7,6,2,5000,2,1,4,14,1.8379546,0.74671419,6.283672482,3.948109059,0.448833749,0.28200779,1174,16.975,28.84166667,22.875,1118,1,NA,Northern,Tropical moist deciduous forest,11768.62988,1353.203478,300,2,1,3,0,2,1,0,0,2,2,1,2,90,2,1
