,ID.PLOT,ID.TRACT,BIO4,tprec,a.tmin,a.tmax,a.tmean,alt,Pop.pa,HHpop,Province,GEZ,pop.d,S.DistToRoad,Expo,Slope,RELIEF,TEXTURE,DRAINAGE,SOM,N0,H,Simp,N1,N2,E1,E2,X1e.05,X110020,X110030,X2e.05,X312000,X321000,X324000,X4e.05,Stem,BA.PLOT,dom.dbh.tree,dom.height.tree,dom.WD.tree,mean.DBH.plot,mean.H.plot,mean.wd.plot,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,FOREST
1,2010011,201001,0.434448384,1072,17.73333333,29.45833333,23.575,971,0,0,Luapula,Tropical moist deciduous forest,24054.88672,3292.840853,222,1,3,2,0,1,1,0,0,1,1,1,1,0,0,5000,0,0,0,0,0,2,0.11945934,39,5,0.5177,39,5,0.5177,-2.411310225,-2.178896877,-0.209848256,0.346537226,0.912677127,0.486544298,-0.816618832,2.580955202,-6.980248971,-1.991505775,-1.161801203,-0.781025671,-0.240824462,-5.579140763,-9.047491474,5.622282403,8.457808323,-5.013960381,4.293650322,-23.60044686,-4.824863526,47.53055855,-0.245663296,3.786561237,34.02773241,-14.02279103,1.205587964,-2.453862693,-5.616359304,29.99431624,10.39825841,-22.31731846,-5.11368159,2.308281749,-7.556978317,-2.978888514,10.07864186,20.54423353,-2.931487025,-2.311472948,-8.372771641,-3.30216854,13.37872101,-0.197473783,-6.964180441,3.453869164,-12.72403733,7.138379645,12.04157757,-8.254726195,23.80096416,-57.78455208,-33.59551962,29.09027829,4.144303141,-11.721953,11.08748577,4.003870389,-8.198900292,9.740105428,-0.603558713,-16.0428483,-57.47530268,-3.185370466,-31.10374941,-69.30010542,-42.86488328,-62.25920279,-32.36657316,7.145605133,28.93993164,38.59882756,9.902217405,-16.01237472,15.1371501,1.085904031,-15.27975199,-35.18526428,-4.711411283,-23.3645885,-7.662886288,3.817055084,-5.613336409,1.321194273,-12.92048355,21.50454703,-25.80715926,55.48418656,10.81648339,-5.060787687,-18.48699752,7.141564352,4.767092071,-13.31292356,1.034998176,-3.345501343,-2.110557684,6.218308134,3.537491422,17.17685137,38.68867021,-6.855091227,20.77930866,-0.307652711,-1.575815407,-5.015668209,7.943177908,1.071410322,-0.625577253,11.31936027,34.82395365,1.127457425,-17.17283191,11.86441324,-0.352179324,0.570210008,-14.54750313,-6.013826689,13.98495023,-10.14714608,-0.361955309,3.188536819,10.96302023,8.404652465,-29.7242633,-3.86276473,10.78967193,-2.177701105,14.68941517,-2.394472263,0.929560266,-2.290873987,-11.48233725,19.97082692,3.447237234,-17.85129158,-3.157528363,5.161107537,-0.515777441,6.517507287,-3.413251968,7.816885988,-19.58400717,13.02624165,-1.903066649,16.42866721,-0.498767745,5.313680754,0.223298619,1
2,2010012,201001,0.837547006,1072,17.73333333,29.45833333,23.575,971,0,0,Luapula,Tropical moist deciduous forest,24054.88672,3292.840853,226,1,3,2,0,1,1,0,0,1,1,1,1,0,0,5000,0,0,0,0,0,4,0.60444384,64,1,0.758,62,1,0.758,-2.411307557,-2.178893496,-0.209847325,0.346537243,0.912676737,0.486543891,-0.816618073,2.580951699,-6.980237674,-1.991501876,-1.161801089,-0.781023921,-0.240825778,-5.57913055,-9.047473957,5.622275495,8.457793268,-5.013951457,4.293642525,-23.60040815,-4.824855102,47.53047429,-0.245662821,3.78655468,34.02767069,-14.02276702,1.205584281,-2.453860015,-5.616352467,29.9942674,10.39824007,-22.31727859,-5.113673927,2.308276979,-7.556966162,-2.978882515,10.07862406,20.5441979,-2.931480927,-2.311473126,-8.372759091,-3.302165492,13.37870028,-0.197475947,-6.964170447,3.453862638,-12.72402083,7.138366127,12.04155999,-8.254711546,23.8009315,-57.78447466,-33.5954736,29.09023994,4.144297654,-11.72193815,11.08747394,4.003867339,-8.198892341,9.740091967,-0.60355842,-16.04283021,-57.47524127,-3.185367346,-31.10371616,-69.30003549,-42.86483986,-62.259139,-32.36654178,7.145596459,28.93990459,38.59879024,9.902210493,-16.01236227,15.13713729,1.085900428,-15.27974088,-35.185242,-4.711406136,-23.36457203,-7.662875857,3.817054654,-5.613335436,1.321198024,-12.92048366,21.50454032,-25.80714488,55.48416427,10.81647797,-5.060783171,-18.48699221,7.141562065,4.767092543,-13.31292207,1.034995663,-3.345498705,-2.110560671,6.218304216,3.537492772,17.1768542,38.68866712,-6.855093722,20.77930956,-0.307652435,-1.575813304,-5.015670466,7.943179816,1.071408584,-0.625578768,11.31936471,34.82396687,1.1274578,-17.1728416,11.86442185,-0.352179198,0.570212552,-14.5475165,-6.013832161,13.98496399,-10.14715905,-0.361961249,3.188541438,10.96302987,8.404658499,-29.72429986,-3.862760798,10.78969914,-2.177708268,14.68944779,-2.394476546,0.929559639,-2.290879683,-11.48237183,19.97088342,3.447247097,-17.85135566,-3.157536802,5.161114393,-0.51579114,6.517586181,-3.413276934,7.816935814,-19.58413939,13.02632636,-1.903096203,16.42878184,-0.498768778,5.313748452,0.223290252,1
4,2010014,201001,0,1072,17.73333333,29.45833333,23.575,971,0,0,Luapula,Tropical moist deciduous forest,24054.88672,3292.840853,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,-2.750453295,-2.693766034,-0.395940409,0.301539093,0.891468294,0.519023322,-0.886801894,3.055667374,-8.772927171,-2.712645166,-1.015145834,-0.965793568,0.017174352,-6.704924352,-11.05496767,6.13825929,10.12131792,-5.991182429,5.155850987,-27.44351157,-5.699676128,56.22667729,-0.297343555,3.430269347,40.27309429,-16.37139716,1.659990863,-2.578044595,-5.916259948,33.38255823,11.96070401,-25.75404704,-5.728249199,2.726429412,-8.499126312,-3.488163968,11.49713145,23.33090619,-3.461754996,-2.176776518,-9.391711158,-3.264523628,14.37574603,-0.036100991,-7.512551961,3.853255753,-14.74971872,3.779170217,12.04558709,-8.975548372,24.0511373,-58.38319124,-34.17872141,29.30943875,3.277993285,-11.75586729,10.66980232,3.684880524,-7.793923791,9.575094524,-0.277518846,-16.99493161,-56.23414912,-2.816769647,-32.4610329,-66.9547126,-38.75184225,-57.65145904,-25.51382193,6.31305481,35.25198427,39.36351763,10.96798253,-16.42827293,13.06855087,0.862482144,-14.83600401,-39.79108508,-5.084563229,-24.13310682,-2.886577584,1.604232386,-4.986483364,0.657756489,-11.40797941,21.91585191,-26.2267525,53.64758568,10.66698959,-5.680126912,-28.42742872,3.889184957,1.330714008,-3.016485314,1.528701962,-4.280275324,-4.454257685,8.343624481,8.586209181,17.28062111,40.64136385,-7.044497523,22.69578714,-0.290086847,-1.663712675,-5.337042262,8.465164968,1.209693238,-0.773606384,13.72286983,41.40208102,0.723315439,-10.08292094,8.358584853,-0.640564869,-1.955058645,-10.89102865,-5.184618221,13.15392374,-10.94755842,7.713529871,1.304183791,11.17268189,7.753224615,-35.02941407,-19.50740517,-2.720510092,-1.677825415,15.01210172,-2.081686779,1.247563084,-1.705132353,-10.74245186,20.38794739,3.134726248,-17.61827009,-4.510118136,14.89536102,2.212116577,-13.38083352,-1.181133962,5.321262511,-16.94165104,12.87777565,-1.198427981,29.90876207,-3.451882245,6.9327423,3.306241816,1
5,2010021,201002,46.04739716,1125,16.78333333,28.29166667,22.50833333,1261,1,500,Luapula,Tropical moist deciduous forest,17911.69336,13446.24953,269,10,3,4,2,3,8,1.624987174,0.708333333,5.078353903,3.428571429,0.634794238,0.428571429,0,0,5000,0,0,0,0,0,48,2.62213644,80,23,0.9082,34.25,16.83333333,0.707465124,-4.829275769,-5.788605904,-1.496402421,0.045359815,0.787145591,0.716751508,-1.305372238,5.605154633,-17.7168921,-6.041714047,-0.365179106,-2.499081437,1.714340146,-14.64343935,-24.96255207,10.03695704,21.0280963,-12.38554917,10.77112553,-52.66522189,-11.34500272,111.8818355,-0.623859606,7.927586724,79.76329705,-30.99473689,4.439479459,-3.470734011,-8.531853549,58.46587133,21.58651712,-46.85748931,-9.024485694,5.407479895,-13.81861438,-6.629365418,19.76572388,39.02075403,-6.499632979,-0.283115003,-13.49392135,-3.388894411,21.52931689,1.919472577,-10.35358325,6.430784774,-17.15341563,11.43368997,16.70880453,-13.59961555,30.63025429,-72.23980404,-41.24105785,34.26698168,4.569341745,-13.26785764,10.56662746,2.790826266,-6.982546151,10.96259631,-0.240096406,-14.97436847,-49.71925088,-2.504766654,-26.62260262,-54.39242026,-33.13675969,-48.44841747,-23.34395087,6.272436053,20.94533599,27.44263223,5.399184417,-9.215424734,8.986957905,2.212118692,-7.722984757,-15.66758381,-3.194075651,-10.82216368,-6.538936535,0.685127535,-0.966008686,-1.727536567,-0.888287366,4.461054421,-8.365201782,13.9877226,3.098369249,-2.251052643,-1.716748188,1.892834656,0.591146537,-3.137116569,1.023568136,-0.97572369,1.84585333,1.158374287,-2.032476336,-0.777640789,1.355145857,0.960844407,-0.870599186,-0.112763739,-0.753019551,1.035087313,-1.035338852,0.552022132,0.608790595,-2.891477816,-8.613224395,-0.025229887,1.346439781,-2.119150124,0.117229726,0.650141076,2.81661678,1.52798224,-4.437989777,4.767460793,-2.623145556,-0.610677,-3.974085609,-2.174188998,15.76660776,8.823711683,0.135579576,1.572703631,-9.018150575,0.845605339,-0.178479824,1.095959988,7.559720141,-13.26156021,-2.116014156,13.45327599,2.586967452,-6.681527977,-0.528790318,4.564287521,1.313528371,-4.551466445,11.40047992,-8.338176231,-0.282394943,-15.92609225,2.190497567,-1.042528848,-1.263623496,1
6,2010022,201002,51.68289963,1125,16.78333333,28.29166667,22.50833333,1261,1,500,Luapula,Tropical moist deciduous forest,17911.69336,13446.24953,227,1,2,4,1,3,11,2.208249713,0.875171468,9.099775231,8.010989011,0.827252294,0.728271728,0,0,5000,0,0,0,0,0,54,3.02245482,80,23,0.9082,35.07407407,15.03703704,0.708664885,-4.828415027,-5.78729216,-1.495924439,0.045477682,0.787205575,0.716670859,-1.305196665,5.603952283,-17.71234042,-6.039880184,-0.365563306,-2.498606635,1.713671533,-14.6405691,-24.95742965,10.0356654,21.02386976,-12.38306733,10.76893518,-52.65550539,-11.34278739,111.8598263,-0.623728521,7.928464398,79.7475114,-30.98881786,4.438319753,-3.470439747,-8.531136126,58.45743293,21.5826132,-46.84889633,-9.022972328,5.40642899,-13.8162928,-6.628091772,19.76221081,39.01388164,-6.498310908,-0.283516429,-13.49145644,-3.389041676,21.52695145,1.919037099,-10.35229656,6.429813749,-17.14858179,11.44205988,16.70896389,-13.59792292,30.63003671,-72.23935699,-41.24029674,34.26706113,4.571567266,-13.2680362,10.56794813,2.791740996,-6.983787308,10.96326163,-0.240919777,-14.97255701,-49.72428582,-2.505784731,-26.62042531,-54.40091225,-33.1485386,-48.46222096,-23.36203722,6.274753987,20.9313036,27.44260655,5.397122675,-9.215275456,8.992783397,2.212681662,-7.724994764,-15.65873753,-3.193468259,-10.821906,-6.550858144,0.69073569,-0.967972448,-1.725782422,-0.8931054,4.462048665,-8.366511674,13.99722529,3.099759826,-2.250055065,-1.695170301,1.901251956,0.599774415,-3.162813932,1.022498576,-0.97391773,1.850996758,1.154187103,-2.043711268,-0.775529674,1.355858353,0.960299042,-0.87202369,-0.112846534,-0.75303722,1.034957764,-1.035174479,0.551869996,0.608992173,-2.894661129,-8.620931092,-0.024089073,1.326881683,-2.108705537,0.117784868,0.655835729,2.804863653,1.524572701,-4.432363046,4.766126825,-2.640414016,-0.605652304,-3.970900598,-2.169952356,15.76677389,8.854485931,0.167590955,1.570726059,-9.011971246,0.843921116,-0.17863324,1.093563115,7.551162103,-13.24915307,-2.113048283,13.43951374,2.58678437,-6.692355439,-0.53350868,4.600409372,1.306455849,-4.538582398,11.37113982,-8.319847876,-0.286325359,-15.9115407,2.192639997,-1.031623096,-1.265231678,1
7,2010023,201002,31.30339608,1125,16.78333333,28.29166667,22.50833333,1261,1,500,Luapula,Tropical moist deciduous forest,17911.69336,13446.24953,280,6,2,5,2,2,10,1.76307711,0.751714678,5.830350451,4.027624309,0.583035045,0.402762431,0,0,5000,0,0,0,0,0,54,1.7651865,52,19,0.8183,27.37037037,13.22222222,0.666454184,-4.828692983,-5.787839946,-1.496179313,0.045374235,0.787075565,0.716663221,-1.305202991,5.60418565,-17.7131836,-6.040173604,-0.365310919,-2.499022296,1.714185091,-14.64218616,-24.9602953,10.03610407,21.02571978,-12.38413458,10.7698784,-52.65906595,-11.3436212,111.8678027,-0.623778947,7.931023614,79.75282112,-30.99047721,4.438843796,-3.47030425,-8.531093921,58.46006198,21.58330436,-46.85047379,-9.022774528,5.406743727,-13.81614517,-6.628357736,19.76234017,39.01361718,-6.498466779,-0.282260561,-13.49022454,-3.38851942,21.5264007,1.919863548,-10.35144346,6.429788141,-17.14352785,11.45080824,16.70887282,-13.59731104,30.62782219,-72.23270674,-41.23512621,34.26242009,4.572847007,-13.26598356,10.56593231,2.790821218,-6.982008111,10.96178251,-0.241328392,-14.96545651,-49.7073797,-2.505409873,-26.60618601,-54.37862483,-33.14061657,-48.44756284,-23.36378161,6.274127829,20.90357838,27.42308239,5.3891451,-9.205632672,8.989548625,2.213463637,-7.716934329,-15.62578979,-3.190175574,-10.80536186,-6.558728429,0.692875505,-0.964932337,-1.726352982,-0.885337767,4.443831475,-8.346369508,13.95804781,3.091750318,-2.245115902,-1.655815032,1.903107433,0.603575285,-3.17574227,1.020914301,-0.969073502,1.859403684,1.143891377,-2.059834068,-0.792867406,1.31439564,0.967929656,-0.897299206,-0.112640698,-0.7516522,1.04128595,-1.044925195,0.550749701,0.610283856,-2.913324279,-8.676516999,-0.02436923,1.329606339,-2.114360008,0.118870591,0.661223243,2.813877435,1.530045382,-4.448040011,4.78154561,-2.659124624,-0.605404989,-3.985753287,-2.179172696,15.8202821,8.897358939,0.184380581,1.572973402,-9.034428743,0.846525622,-0.180503724,1.095635958,7.567260232,-13.28074598,-2.117641655,13.46731184,2.594535554,-6.720165628,-0.538191355,4.630475988,1.307220784,-4.545573971,11.39420003,-8.337900777,-0.285822535,-15.9547823,2.19861094,-1.037018602,-1.26968385,1
8,2010024,201002,33.73912711,1125,16.78333333,28.29166667,22.50833333,1261,1,500,Luapula,Tropical moist deciduous forest,17911.69336,13446.24953,225,5,2,3,0,3,16,2.631337528,0.917159763,13.89233887,12.07142857,0.86827118,0.754464286,0,0,5000,0,0,0,0,0,52,2.13361764,43,21,0.9082,30.92307692,14.69230769,0.684230769,-5.237210793,-6.525951576,-1.820423273,-0.076494485,0.644693929,0.717120731,-1.329331305,5.930704708,-18.8440746,-6.427736199,-0.104934801,-2.963569714,2.260694646,-16.46996813,-28.17467393,10.61459529,23.08495151,-13.56980804,11.81222897,-56.65268295,-12.26018621,120.5533451,-0.677296008,10.32593898,85.44370025,-32.83503125,4.933034897,-3.404511739,-8.607323485,61.27122313,22.39605958,-48.67346826,-8.996504687,5.709913781,-13.89302812,-6.902800235,20.11037263,39.33195085,-6.682736783,0.542872232,-12.93493241,-3.120412945,21.52330928,2.456547282,-9.987755388,6.5079309,-14.49898876,16.5462833,16.90588244,-13.47085832,29.92456403,-69.89453527,-39.36373738,32.57787772,5.406292852,-12.49477789,9.826113706,2.437003095,-6.360980104,10.55264423,-0.389739394,-12.60240267,-44.40534097,-2.402086891,-22.18070889,-47.97709405,-31.15762018,-44.57827803,-24.30048657,6.188505555,13.07719938,22.41739597,3.236122827,-6.81201685,8.635602062,2.433079627,-6.146443717,-9.039300417,-2.649644868,-8.039027902,-7.925761635,1.017291195,-0.48934074,-1.856942277,0.085474121,2.348186193,-6.208028315,9.898205439,2.384924137,-1.837507288,1.881514284,2.084595811,0.869024706,-3.939204194,0.985572496,-0.854442172,2.023432666,1.045999684,-1.915126317,-1.57502416,0.291935234,1.183590138,-0.873834758,-0.116113877,-0.819945852,0.835011153,-0.678665654,0.637927854,0.559374834,-1.558134935,-4.191618084,0.001492969,1.051404498,-1.568737994,-0.028785529,-0.730261742,3.087296887,1.229478333,-3.141907123,2.957171976,1.100707465,-0.765106484,-1.276684646,-0.598490382,5.767174919,-1.485818341,-5.105561017,1.417710206,-5.592631604,0.845890082,0.236997091,0.832606179,4.990300222,-7.612113734,-1.20705673,8.357300614,1.000782713,-1.073956083,2.676302266,-14.14428059,3.932543237,-6.91550129,19.75412997,-12.11244867,6.347539294,-17.02607946,-0.198618742,-13.23065657,1.133400661,1
17,2010071,201007,28.26545318,1174,16.975,28.84166667,22.875,1118,1,NA,Northern,Tropical moist deciduous forest,11768.62988,1353.203478,18,2,1,3,0,2,11,2.107279667,0.851969217,8.225833817,6.755351682,0.747803074,0.61412288,0,0,5000,0,0,0,0,0,94,2.12906232,45,15,0.992,22.63829787,8.574468085,0.716178723,-8.272862769,-14.63235982,-6.387437004,-2.396134543,-2.798598345,-0.010839149,-0.426728671,6.040369332,-21.44953659,-7.665623997,4.781209406,-7.462346957,9.035024353,-28.93141856,-50.93229135,8.339378399,31.47041515,-17.96973828,15.75962151,-57.75447685,-13.2725391,123.656332,-0.763895312,30.09052589,78.24386829,-24.97456332,6.687227707,1.212715476,0.020599762,31.00701618,9.219083741,-20.81820267,0.660308332,3.433139521,-0.237010614,-2.904750443,3.06179208,1.645916172,-1.800116219,9.052097232,6.321095558,3.52233627,-2.346316997,5.359451445,4.66751415,0.2173056,25.11548326,39.77830545,-1.599614707,2.706121689,-12.21334725,34.69760538,23.53916212,-20.96680008,4.917481784,9.172300895,-8.872300012,-3.848965276,6.904745233,-5.589102047,-0.643259056,19.42894336,50.62681302,1.753819694,35.22168482,58.19799515,25.14280974,41.53611702,6.091752343,-2.789609278,-49.09697117,-37.07390569,-13.73202256,16.40154837,-5.620661503,0.625916162,11.02488463,37.38268507,3.394175379,16.8569988,-2.710128855,0.179381171,3.047087844,-0.601994745,5.632140222,-11.06369811,12.01946752,-23.24817611,-4.005843869,2.095413502,12.07533629,-0.649971953,0.050283048,-0.002962644,-0.29445088,0.534682495,-0.148062926,-0.375479792,1.797663,-3.023666658,-4.312799247,0.608549441,0.460944323,0.014897012,-0.054825828,-0.993032141,1.543853933,0.139675126,-0.316271654,4.776462154,15.44893507,0.209342335,-3.456155262,3.420311428,-0.360933631,-2.995464706,-2.378518489,-1.954862891,5.998753199,-6.671642788,7.214224162,0.246956826,7.420588473,5.070387343,-25.37141901,-14.92062213,-0.623798375,-1.44730365,11.90320012,-0.204854491,0.719625529,-1.815712634,-10.49537076,19.05553778,3.522020843,-19.02051243,-3.235007318,3.316226381,2.95400975,1.868524044,-4.790488203,13.04187098,-31.30859907,22.50623744,-2.502177503,33.03651368,0.370374287,19.93060339,-2.477809826,1
18,2010072,201007,23.19339742,1174,16.975,28.84166667,22.875,1118,1,NA,Northern,Tropical moist deciduous forest,11768.62988,1353.203478,360,2,1,3,1,2,11,1.993143232,0.823251418,7.338564356,5.657754011,0.667142214,0.514341274,0,0,5000,0,0,0,0,0,92,0.82789014,31,9,0.88,13.80434783,5.934782609,0.68808913,-8.149956788,-14.29988269,-6.205343674,-2.308537467,-2.674896205,0.006970311,-0.438518814,5.695120554,-19.46746068,-6.619202272,4.401463306,-7.692628051,8.934957273,-29.52964926,-51.75875988,9.093112902,31.98728677,-18.27930427,16.00806378,-59.65681832,-13.60066102,126.869903,-0.77711,34.49000856,80.64475366,-25.92302122,6.706664388,0.888658567,-0.992025087,36.26025088,10.27289506,-23.03667873,0.345448389,3.736683134,-0.898936739,-3.268626305,4.087099954,3.625708073,-2.0998992,9.241781697,6.218088812,2.951826854,-0.059551895,5.78437583,3.907973104,0.807859386,27.1813599,51.71176893,1.956347115,1.24662572,-6.779006679,22.30335925,17.05759723,-15.23667644,7.536527854,6.934249486,-6.512343003,-3.017736003,5.288505018,-3.368326677,-1.205525022,18.95893373,41.6541361,0.798240254,34.04339428,47.73584335,14.5674115,28.28087395,-6.923165694,-0.597280254,-55.73822002,-34.76729244,-14.70891821,16.06965572,-2.317207435,1.437879205,9.899994538,41.22112117,3.281282638,16.64028109,-8.148554638,1.92495038,2.700130466,-0.706799004,5.191483505,-11.14184607,11.28887352,-21.24675896,-3.605110946,2.066114789,17.81046005,0.933540127,1.336337025,-3.780811104,-0.171446847,0.534892472,0.759510286,-0.45485049,0.589288334,-3.407922427,-4.432986593,0.926088688,0.093233204,-0.0146202,-0.273511088,-0.804031192,1.420426018,0.329800863,-0.188584156,4.859012008,15.81782737,0.093035845,-1.014293364,1.888566024,-0.474961873,-4.406325324,0.811259768,-0.927646351,3.960222844,-5.264793482,10.34727849,-0.423831692,7.32512884,4.185366713,-25.8653091,-25.92622484,-12.82458078,-0.372092452,7.838198981,-0.005273105,0.881676618,-0.543083363,-4.988389779,10.63942768,1.661709592,-9.011412983,-2.704612216,8.788552252,4.667470997,-26.70499192,3.612609014,-3.192294059,10.83363235,-4.78102562,7.943346917,-1.223475455,-2.692476766,-13.12563556,2.548906547,1
19,2010073,201007,25.19350772,1174,16.975,28.84166667,22.875,1118,1,NA,Northern,Tropical moist deciduous forest,11768.62988,1353.203478,150,3,1,3,1,2,12,2.065345433,0.834294502,7.888022208,6.034802784,0.657335184,0.502900232,0,0,5000,0,0,0,0,0,102,1.9650708,40,12,0.992,20.66666667,7.352941176,0.705735294,-7.888823382,-13.96624542,-6.111950602,-2.30536961,-2.710540526,-0.032140643,-0.365446002,5.355460697,-18.37412727,-6.243251777,4.409138385,-7.515620447,8.799139997,-28.51574343,-50.01879705,8.418378319,30.50543895,-17.40146613,15.24099074,-55.86958009,-12.77572459,118.6277424,-0.730542382,33.78459412,74.62099653,-23.58809968,6.343897576,1.143464395,-0.334053478,31.51176889,8.502905819,-19.18887612,1.073185206,3.273699598,0.259264384,-2.689703879,2.384312952,0.230675889,-1.51525952,9.195887406,7.386071309,3.236514415,-2.038565225,5.557473759,4.845599376,0.183959297,28.61154151,50.10133292,0.250203316,2.636117096,-9.891634074,29.65050293,21.38921594,-18.84682669,6.941464691,8.326911868,-7.627841986,-3.302562962,6.034271271,-4.648976934,-1.158450314,20.53743767,47.30504606,1.105169444,36.93720772,54.15905565,18.77190501,34.34603183,-3.594468233,-1.457762291,-57.60028302,-37.99721169,-15.18658711,17.08499973,-3.60575006,1.065977133,10.86988254,42.67377983,3.718192003,17.97290673,-6.821074221,1.757319246,2.782503258,-0.36597874,5.166417251,-11.57515613,12.45418358,-23.10496489,-4.066381945,2.428633874,17.44839286,0.520489466,1.168325047,-2.988357092,-0.381251192,0.720756257,0.311960015,-0.689766057,1.016472714,-3.03738949,-4.479807484,0.647137298,0.31103813,0.013380055,-0.069692924,-1.021644685,1.600644476,0.162043983,-0.339201709,5.297284805,17.02090993,0.094406516,-1.352540242,2.368107544,-0.465818801,-4.172341957,-0.202905583,-1.337106336,5.014265675,-6.297304452,9.932663976,-0.137734456,7.808253681,4.42172361,-28.12400452,-25.30427122,-10.69263191,-0.973883923,10.31014122,-0.380618032,0.76987785,-0.953527033,-7.586727899,14.72137144,2.329527451,-13.78007944,-3.294186853,9.458128141,2.821219305,-16.73045277,0.754603275,1.927240908,-4.382897935,4.750771072,2.643332474,13.47760537,-2.509743088,-0.836775946,1.477371298,1
