"","ID.TRACT","BIO4","alt","Pop.pa","HHpop","Province","GEZ","pop.d","tprec","a.tmin","a.tmax","S.DistToRoad","X110010","X110020","X110030","X114000","X210000","X230000","X312000","X313000","X321000","X322000","X323000","X324000","X400010","X400020","N0","H","Simp","N1","N2","E1","E2","J","Do","Expo","Slope","RELIEF","TEXTURE","DRAINAGE","SOM","Stem","sum.BA.tract","dom.dbh.tree","dom.height.tree","dom.WD.tree","mean.dbh","mean.height","mean.WD","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","FOREST"
"2",201002,40.6932049950505,1261,1,500,"Luapula","Tropical moist deciduous forest",17911.693359375,1127,16.675,28.1583333333333,13446.2495342823,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,25,2.64012035912864,0.895155325443787,14.0148903262133,9.5379188712522,0.560595613048532,0.381516754850088,0.820199505284348,0.179800494715652,238.5,5.5,"2","4","2","3",52,9.5433954,80,23,0.9082,31.8461538461538,14.8942307692308,0.691320940796731,8.66189429112,5.34914037329317,3.29192729945608,-1.58513641264181,2.28138872586793,-4.38018199957754,15.7125676126321,-23.5498374953777,33.7678285958272,-18.0121477829244,-20.3840272618585,24.6873951258049,9.97673289805865,22.1054080921037,-89.6331839396285,-5.92245923480169,-49.2727865063951,-55.5820959027461,45.3151160750455,-1.82288304647917,-4.35853759931263,25.1467140154644,-19.2083432102945,64.2156386571611,-52.8678143426659,4.79668587142035,-59.6089127059598,17.2505404900747,-27.1745780978876,-31.5687432554851,33.7091073777722,16.2697795587759,0.0872670081229802,2.85750863641564,-12.697763020729,15.559988516668,2.70806958523004,-4.96683281435224,63.5182142356761,55.3303681129845,-11.7257057326523,-20.6700228137955,-8.16054017769453,12.3859715381147,24.8646859664665,59.4689121313518,16.1368880335178,4.60967856824345,45.6553637242748,-4.60087814587196,-6.52477121839568,12.3768259767835,-2.89882655741353,4.35594117554017,-0.65334279417433,-23.2718109428303,2.80137903063847,11.14347921685,-0.315575870331676,-11.2847227336867,7.50165551205164,-15.1832703300467,7.41643352730359,19.0369355975575,18.8986499737133,51.5727593124186,10.1097729589335,15.460010106446,0.890816570780273,-0.0725763004605279,-4.53520102992119,1.74966208895893,1
"5",201007,30.7662705239976,1118,1,NA,"Northern","Tropical moist deciduous forest",11768.6298828125,1169,17.0916666666667,28.9666666666667,1353.2034775944,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,26,2.52722188276145,0.883897486579367,12.5186794236108,8.61307796479009,0.481487670138878,0.331272229415004,0.775674340299362,0.224325659700638,285,2,"1","3","0","2",105.5,9.07286226,47,15,0.992,21.3317535545024,7.93838862559242,0.697881042654028,19.7764560798069,13.1670104456664,15.3914725376832,-5.97022108813435,0.401779370057496,-3.92311385118998,25.0911239851528,-26.514678252373,56.6924762854966,-37.7745092187172,-41.4323830624451,40.0864335227423,5.49927904809917,22.6574965801982,-130.243689858275,-10.4609468685388,-47.1863992119485,-57.5811257851782,51.9417636944451,-2.28103311447176,-7.61361481692089,39.8461170630584,-27.271732798255,68.9977383424273,-45.6403586699064,0.483712965875966,-44.8278199655799,6.11957500676184,-13.8459047530297,-21.9771424991212,10.4578937812189,2.5812134697691,-0.185826936949056,1.01228925640621,0.0667114502251734,-5.28951580783631,30.9948173494025,-21.2286347295812,34.2083213397489,10.2580703748597,1.24337553793932,4.07040573847509,4.75291589268103,-6.65405246522022,-11.1219958739683,-29.1102238247528,-12.2707136218137,-0.865531567303355,-40.9502748292803,8.39069700052915,10.9684294813143,-7.78661877034036,6.82555946453131,-9.8053731708,0.540127047797501,44.2096287100244,0.775106980743852,-7.14296682037567,-2.35080552763286,13.5500550045273,-14.7805877385267,27.5811767197065,-18.0115341037939,-27.9959541960901,-33.290894732105,-12.704566199468,0.36962915672817,-4.76365465324249,-0.800314132388652,-2.33495833032987,-14.0105712156728,2.16593442853272,1
"8",201010,10.7014164924605,1834,0,0,"Northern","Tropical mountain system",1713.96875,1111,13.25,24.7083333333333,7604.56273469247,0,15000,5000,0,0,0,0,0,0,0,0,0,0,0,11,1.71972076652726,0.748579733121945,5.58296929469568,3.97740409879138,0.507542663154152,0.361582190799216,0.717179263846803,0.282820736153197,180,3,"1","3","0","3",43.5,4.07457666,47,9,0.7813,23.3908045977011,5.71264367816092,0.713348275862069,35.8382731384839,25.3598358362685,40.8627570704626,-14.339044865944,-8.1912931921689,5.72591292530501,12.2488926984059,33.2771924670097,23.0240067520482,-45.6962426144134,-66.0044549652283,37.7134104144333,7.33558340516388,19.7258369389799,17.2811951541332,-12.6783050650308,21.7373932300854,14.0129470056522,-1.61915297758593,0.279077085840499,-9.57497635857367,22.5108584575259,-7.12217981307191,3.08665618992849,18.1490656509886,-10.8236880140782,67.2229485461031,-12.18942582878,33.755126488854,28.0866074622413,-31.2719711848678,-30.5699739272528,38.9398379829444,30.0539933969374,-3.64868100411357,38.3721778503321,-58.4931454557531,28.7826316719353,-8.61153341747731,19.4960036567976,3.12328372612045,-4.5992732975969,-37.8955071031494,70.5221632356281,17.0918411793863,12.2207068864537,7.8275016412992,2.58523597697077,41.2448418585424,-2.58908073428436,-25.2959842534907,-24.7697113297178,-25.2776747200096,39.4042575413356,-7.72472693873798,-55.6577052387013,-10.6840034773672,-15.2570390159384,-2.85848318616415,3.54322712317534,8.53961308626998,2.28512767304216,31.214783249896,-23.8688735096362,-22.558812025168,-5.89614323446821,-1.63750508329202,-9.24672160715255,5.07021614338246,3.36495653588507,7.29885985610725,11.192829976876,1
"9",201011,24.6751236061761,1205,0,0,"Luapula","Tropical moist deciduous forest",29883.677734375,1229,15.775,27.7083333333333,6938.9718929608,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,6,1.66094743328692,0.791666666666667,5.26429605180997,4.8,0.877382675301662,0.8,0.926992412660448,0.0730075873395521,320,40,"7","2","0","1",6,0.27465438,32,12,0.8208,15.5833333333333,9.16666666666667,0.662571914484167,8.94280124422178,5.35061611934128,1.63821518813355,-0.994502897372705,3.78403555111933,-7.34099387123702,23.4696064286761,-60.0039603932661,58.7763657305968,-12.0516483666624,7.85423115434494,9.47889554137393,-1.47327726814305,8.76138903193544,-56.646228518189,-8.38992455322509,-41.0129654407634,-61.9711222496105,60.6732541635933,-4.58596152429117,15.5110100868115,-62.9853257690006,4.68436744042318,-17.0440867898971,5.1854849231939,-6.46144125826117,30.7128900022054,10.608552077793,-15.5008662122587,-4.12977438085159,13.6210925391362,11.4935724315425,-9.00608879365059,-6.51062544217315,-4.68865968594359,4.88267806508933,-51.7024528204724,50.3772405096654,-101.95436213473,-49.4051755741971,15.5944457380757,6.51137146866314,3.37559563135044,-10.1863401184125,-10.5924174613799,-16.958021018417,2.04797665409449,2.10379551642142,9.17143317447723,1.17467278339451,-1.54713236185869,2.99388385708696,-0.303883507567713,-0.932549028466073,-0.606994207616116,-14.2838025741304,-5.80840473613509,-10.1056795263268,-1.75833936356608,1.04264808140245,3.03965166196385,-0.222819075038544,4.58285464514606,-0.128013319614814,6.41230966899096,-61.2114537345762,-12.7688881648897,-12.9951216443317,-0.719000413303144,1.38364223157816,11.0555793805522,-2.77556712793684,1
"12",201015,29.2183055077797,1314,1,NA,"Northern","Tropical mountain system",21058.203125,1244,14.5583333333333,26.75,8960.65885630314,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,32,2.48628765255217,0.846883079574835,12.0165834814512,6.53095684803002,0.375518233795351,0.204092401500938,0.717390973312095,0.282609026687905,145,3,"1","3","0","3",118,10.81919916,52,11,0.992,22.3474576271186,7.21186440677966,0.691772074152542,70.9199434058986,50.4804818914095,82.9784070652566,-28.4301470753503,-17.5447859548356,12.2474750541635,20.8118158655779,51.4589096090488,45.8101723509706,-75.910853681622,-96.9263929692601,49.0743422501759,-14.4873159270213,-4.80420491977458,-44.3275519871472,-11.2482169423781,50.7617596298235,47.0540877114146,-25.6076483476241,1.38538749758997,-14.5817738650079,53.5744609394973,-15.141344508786,-2.09241600898639,31.5011811846501,-11.2956214811254,55.9512823249154,-21.5625825761985,28.0189091854223,24.9758401568829,-41.3010772224259,-21.2431761090233,2.16599215031037,-0.301991405911954,10.3383435471721,-10.3823068838696,7.83656013255646,-2.74628216443376,-23.100145923921,-22.4681558020818,5.72390523130469,4.83028533536645,-0.915455094081414,5.09536846601944,5.23167547830833,8.80127470271238,2.88845869376211,2.28253044752745,16.4719326268965,-1.33836681152428,-0.83396458002639,12.4078354907704,1.09832130845144,-1.57192668083496,-0.0171231208453627,-17.0153201465017,3.37322484439005,10.823846184063,-1.62062711508944,-9.54374952244353,6.48297182246027,-16.9652770334678,-0.254416397779824,19.6762335658348,19.1869103640314,-8.12604699134529,-1.37790609924682,1.93396630559832,-3.98763230666717,-1.95562432036608,-5.35272472204249,-9.47026537986093,1
"13",201016,52.9377220205877,1389,0,0,"Northern","Tropical moist deciduous forest",17701.0546875,1137,13.8916666666667,25.7083333333333,19016.1605839778,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,35,2.58651200457417,0.863328,13.2833584123708,7.31678763755561,0.379524526067738,0.209051075358732,0.727498956456777,0.272501043543223,270,2,"1","2","0","2",125,17.71760298,72,14,0.9082,27.42,9.192,0.69008278835252,68.0205807050401,48.4833571859782,80.1938147327311,-27.131134365713,-17.5470848506786,12.998710889264,12.583339516431,60.8564666451201,23.9644058461863,-62.3593146313476,-88.1436060575738,44.258457357317,6.39134104271075,20.7774825619396,47.6624369523036,-16.6205417982981,31.0156639008093,15.6047847183006,2.81924667402383,-0.536764015000066,-6.20881017794573,4.41685162645268,-5.81542976929589,-2.15707320122052,17.6448335032529,-13.972860716117,78.6947998353665,1.8535022703841,9.26912895150456,14.2347348001079,-5.57421250189953,-8.56520498980993,20.6812556428889,16.8422564396224,-11.5097117143007,34.5250357913931,-58.8599340952216,38.2473104950912,-12.7955965276278,24.6361056956626,-0.0778149787913718,-15.0726011001563,-24.5690143692194,45.5373901582368,28.8630446359322,51.1741307209827,10.9339795746358,4.71978580648346,32.4080977254719,-0.423734482166271,-5.56985961682668,1.03494243211301,-4.65266403968265,7.99578839237803,-2.36706592441353,4.65738344622807,4.73733311178864,6.8508198318413,-3.3352874373952,5.80431658887535,-6.03959923100695,3.45959024444269,-11.0336147192876,-15.3612487841976,-28.2032818960138,1.51734576963272,2.86680633581674,-4.23255066184686,-5.16615347989058,-3.96364360648447,-13.6656993865528,-9.51758250801458,1
"17",201020,5.54357932076242,1407,1,14,"Luapula","Tropical moist deciduous forest",22354.34375,1325,14.425,26.5166666666667,1210.19399253109,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,12,1.82570504257405,0.738025822573928,6.20716979569211,3.81717011128776,0.517264149641009,0.31809750927398,0.734717758001015,0.265282241998985,265,1,"1","1","0","0",24.5,1.35434376,36,31,0.8445,16.9795918367347,5.40816326530612,0.743038775510204,11.2191428848263,6.76873853950313,2.35352605119666,-1.28020778051428,4.73590392141173,-9.68518817063865,31.3152364368834,-88.8935151842055,82.2134694972319,-10.7851361209603,26.1293002433741,-0.245500649626958,-11.0750573443151,-2.1567966385835,-23.9999390284528,-10.7927215512283,-22.034685184815,-49.8496939670151,57.3943163080034,-5.25249046758474,20.8310330719505,-88.206332444263,11.81502021859,-51.0391694748516,34.8631994112776,-12.4548058810045,70.6646420171401,0.564532319257419,-0.808046222461502,12.1694352089466,-8.19437003977693,-0.321533298114828,-7.72586865548341,-6.37107709900469,5.09568567561089,-8.04203895426924,-15.8416709439569,18.7086949082256,-66.2469893677306,-44.5906935988968,11.2754993015412,11.185046849902,0.885448003034847,5.16830727930854,-1.46068236573879,-13.4008077508091,-9.43267755375409,-1.24130008920808,-23.843687866419,2.26322993173215,9.97963049864823,9.87448399592194,9.59694389828882,-16.9603085133841,1.69281955569466,-5.07480672539722,-6.22682014467358,-1.67121492139536,1.02471745914559,-10.1279459437128,2.16388770583553,9.77460098759336,12.6949279180414,5.5660889211243,13.0868196980163,56.4795462366794,9.88317449801059,15.1364615032622,4.53619952298612,2.46860215641266,6.96193092714394,6.81423475297763,1
"18",201021,22.3335806495442,1432,1,0,"Luapula","Tropical moist deciduous forest",14717.44140625,1329,14.6166666666667,26.6,2431.61548726887,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,26,2.57256982141657,0.8795166015625,13.099444456624,8.29989868287741,0.50382478679323,0.319226872418362,0.789592877741674,0.210407122258326,313.5,1.5,"1","2","0","1",64,5.69603496,67,17,0.99,21.125,8.2109375,0.684065625,15.5462405287386,9.7578647765764,6.53684824511496,-2.65311829982474,4.29109719128136,-10.0885696266422,34.9680150090115,-99.4195606817391,92.9214718648636,-11.6036413238725,32.7674360316107,-4.78417938898913,-18.0149126925057,-11.0935579298503,-28.0630486568321,-9.78181411519766,-16.4862826558468,-45.1222704303763,54.5817953869382,-5.42117602750792,23.991125185806,-99.7284321621357,16.4586830986132,-66.2173326889751,44.1385112328397,-11.4602905813647,59.854651059516,-3.53629111112899,4.25664139136388,11.3105613980756,-10.8013582685651,-2.70298562630514,-3.69247765304478,-3.08661113872693,2.32073718273323,-2.54998038588976,-14.3952387073315,16.0683454463701,-44.8374506964555,-27.1677481891873,8.38892760692523,6.39600505805965,3.6257748570397,-10.2710078789663,-14.1416839729021,-26.1508963332892,-0.452978969077072,0.168344711000031,0.824565108155966,1.44193514940865,-7.62512196772536,-16.5302508848393,-10.2847267105219,20.2512438655237,-2.45066480389615,10.4256474516653,11.3482532663486,14.1804651224879,-0.312787964745862,4.03377735495574,0.826542191984684,-25.0399779670729,-5.07316938970803,9.11322633332408,-3.32365749080148,43.9906570753114,9.81246418109035,8.92851017075216,-2.87953641897616,-2.16323444916215,-9.54405189353051,-4.03514079307047,1
"22",201025,19.5657650060998,1287,1,0,"Northern","Tropical moist deciduous forest",15642.8427734375,1200,14.275,26.7416666666667,6542.22571355715,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,26,2.61130471034353,0.880492728119663,13.6168052537968,8.3676916414032,0.523723278992186,0.321834293900123,0.801481687196805,0.198518312803195,270,2,"1","2","0","2",69.5,7.11289656,72,16,0.99,23.1014492753623,7.57971014492754,0.674390597156691,90.2777268926557,64.396887622979,106.540579511642,-33.9144066806287,-24.6276924367073,18.4876550900912,-1.43996832372013,66.2839824994468,-2.57825904863626,-34.883319110965,-47.0669205569468,12.6414666017324,-1.07075128077842,3.01353880056765,65.5707877609751,-8.08452059586931,17.1519017075262,1.3991394866606,10.3292551891761,-1.65174428485216,5.52614874868037,-30.644041171474,-0.636645484341186,-2.52517915205981,-4.77125351866962,-8.16345653999143,44.0137252722434,28.9752711202737,-47.9812651513367,-19.576729567634,44.532312569912,38.3185740536442,-32.6400196693973,-22.2141926000963,-8.99055001567047,-5.25115327696197,-6.16531914846731,14.6348011677803,-11.3322040783241,4.73258535054114,-4.8226101637971,-13.3783231367061,2.81517428817385,4.5642580182602,31.8511393199313,64.6063739220005,-1.02216245427342,1.14463762931986,-16.6213148752233,2.19918151894268,16.4952852931172,15.5760866089416,13.0293624542124,-14.7716341550575,2.11877492392214,50.7444963140517,19.0737811221369,29.1760328568989,-1.49812972819882,4.75288168203454,-10.4838598213303,-10.4531752534925,-24.9069830112109,-3.67852490264098,-24.9643308720182,8.41948880333516,3.46849331105836,-4.70858641908369,-9.95018885952631,-5.30302918408399,-9.38846267848755,-18.562877365958,1
"25",201028,28.4138445862514,997,0,0,"Northern","Tropical moist deciduous forest",18929.349609375,1067,17.7083333333333,27.7666666666667,11699.3796302366,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,20,2.21451850642281,0.851191135734072,9.15699901376567,6.72002978406552,0.457849950688283,0.336001489203276,0.739224438035518,0.260775561964482,207.5,3,"3","3","0","1",95,7.60848396,41,24,0.992,21.7052631578947,9.28421052631579,0.698812631578947,13.762702668935,9.17985620962721,11.0382996953939,-3.38671454338644,-0.880048676161248,-0.411190314397408,1.30529598562127,3.97866352242538,-2.95101831962282,-2.87186695449232,-14.9282881997542,16.4865769087258,30.928523470876,44.392902444142,72.1404984736393,-10.5086546859962,-29.6451282121641,-39.4336408021843,33.2242684984749,-1.51883728239155,5.37897445912416,-25.5747509312454,11.1520243422502,-16.174507071479,7.70292475393444,13.2346598887874,-126.278470413573,-39.9902408926034,58.5091678252347,-0.771658584157779,-44.8035866288757,-39.7720395985013,26.3068813414984,12.362507568236,9.83726658472995,-18.7638032951807,35.1290905620216,-18.3115508361871,-19.1766415723472,-37.5340200936661,11.9973046026329,15.7287782996095,10.940855506739,-15.6732531934262,-5.91144004102035,-10.3599150698547,-0.206378782591758,2.84076477110018,15.1332007516317,-2.09956729750627,6.9063459191219,34.8485136776866,10.7461626937071,-19.761779712558,-0.135059090101211,-58.8621095488209,-9.80554666185617,9.05271449132576,-4.73985996047834,-21.3394088538284,10.570920069742,5.70692069491843,32.1116869288641,-14.3289981824892,-21.5416750960787,11.6141354321675,1.64096450162093,-11.0926532811257,-5.88308119464307,-1.90070099553115,2.51889007800004,-20.7852144225378,1
